Year,Group,Location,Score,Team,Total_shots,Shots_on_target,Touches,Total_passes,Accurate_passes,Key_passes,Dribbles_won,Dribbles_attempted,Dribbles_past,Aerials_won,Offensive_aerials,Defensive_aerials,Successful_tackles,Tackles_attempted,Clearances,Interceptions,Corners,Dispossessed,Fouls,Offsides
2019,D,Deplasman,0,Bayer Leverkusen,9,0,782,625,543,8,3,5,10,4,5,9,13,23,11,11,4,12,18,3
2019,D,Ev,1,Atletico Madrid,6,2,614,414,312,5,8,18,16,14,20,5,13,29,28,12,2,12,12,2
2019,D,Deplasman,0,Bayer Leverkusen,12,1,848,616,515,8,16,18,8,11,5,20,22,30,13,12,7,11,11,0
2019,D,Ev,2,Juventus,28,7,950,745,667,19,15,21,6,21,14,17,13,19,10,10,11,5,14,2
2019,D,Deplasman,1,Lokomotiv Moscow,5,3,417,219,145,2,6,9,15,10,17,14,11,26,30,19,0,10,13,2
2019,D,Ev,1,Lokomotiv Moscow,17,6,?,330,250,15,8,12,14,12,10,15,8,22,26,20,5,12,15,2
2019,D,Deplasman,2,Juventus,17,9,932,737,653,11,14,19,8,13,15,10,16,24,16,8,7,3,7,1
2019,D,Ev,2,Bayer Leverkusen,15,3,721,522,428,10,8,17,9,18,20,27,19,28,29,6,11,9,18,0
2019,D,Deplasman,1,Atletico Madrid,13,8,678,476,382,9,9,15,8,29,27,20,18,26,18,12,3,13,7,3
2019,D,Ev,0,Lokomotiv Moscow,11,5,685,455,341,8,13,25,14,12,14,11,22,33,20,14,4,11,21,2
2019,D,Deplasman,2,Bayer Leverkusen,15,6,787,549,437,13,14,26,13,13,11,14,23,36,12,15,5,10,18,3
2019,D,Ev,1,Juventus,6,2,846,640,557,4,11,22,8,18,13,24,10,18,24,10,3,8,13,1
2019,D,Deplasman,0,Atletico Madrid,15,2,622,435,341,11,8,12,11,19,24,13,19,30,17,11,6,6,14,1
2019,D,Ev,2,Atletico Madrid,23,6,861,652,580,18,17,23,4,19,17,18,18,22,4,5,5,13,13,4
2019,D,Deplasman,0,Lokomotiv Moscow,3,1,505,320,237,1,4,8,17,16,18,17,19,36,27,16,0,14,15,1
2019,D,Ev,0,Bayer Leverkusen,14,1,801,610,532,10,19,29,13,11,9,11,16,29,11,10,6,10,14,2
2019,D,Deplasman,2,Juventus,6,2,712,530,442,2,13,18,19,9,11,9,20,39,26,12,2,11,9,2
2019,E,Ev,6,Salzburg,26,13,599,404,311,23,6,16,15,16,14,19,16,31,24,8,6,10,18,0
2019,E,Deplasman,2,Genk,10,4,677,464,361,10,15,26,6,17,19,14,20,26,13,10,6,5,5,1
2019,E,Ev,2,Napoli,10,5,717,515,437,6,10,16,9,12,10,11,14,23,21,12,7,18,4,4
2019,E,Deplasman,0,Liverpool,13,4,751,571,484,11,9,17,10,9,11,10,24,34,15,9,6,6,10,1
2019,E,Ev,0,Genk,14,2,569,326,236,9,9,24,6,19,28,13,18,24,27,15,12,10,6,1
2019,E,Deplasman,0,Napoli,18,3,806,571,484,12,6,12,9,22,13,28,25,34,27,9,7,12,14,1
2019,E,Ev,4,Liverpool,10,5,969,772,645,10,23,36,6,18,14,12,22,28,4,11,6,14,7,1
2019,E,Deplasman,3,Salzburg,10,5,536,333,232,9,6,16,23,8,12,14,27,50,27,11,2,12,7,4
2019,E,Ev,2,Salzburg,18,5,699,494,389,12,12,24,17,13,9,13,26,43,18,16,8,5,11,4
2019,E,Deplasman,3,Napoli,12,4,672,438,347,7,17,28,12,9,13,9,17,29,28,11,1,15,10,0
2019,E,Ev,1,Genk,8,4,474,252,183,7,10,19,11,9,12,9,13,24,20,19,2,10,6,6
2019,E,Deplasman,4,Liverpool,17,7,950,768,686,12,11,13,10,12,9,12,19,29,8,10,7,11,14,2
2019,E,Ev,1,Napoli,29,4,751,538,441,23,13,21,6,26,13,21,17,23,10,19,7,10,7,2
2019,E,Deplasman,1,Salzburg,12,1,613,425,321,10,6,16,13,8,21,13,18,31,18,11,8,7,25,3
2019,E,Ev,2,Liverpool,27,8,981,791,687,19,20,29,4,23,10,25,14,18,13,8,9,7,10,3
2019,E,Deplasman,1,Genk,6,3,508,304,204,4,4,11,20,12,25,10,16,36,39,4,1,7,4,5
2019,E,Ev,1,Liverpool,15,5,944,731,646,9,15,25,6,21,22,18,15,21,8,5,10,8,15,0
2019,E,Deplasman,1,Napoli,4,1,504,293,209,3,6,12,15,19,17,23,18,33,33,12,2,9,5,3
